query,original_name,sheet,row,source_link,people_count
奕剑决,奕剑决（8人开放）,狐小狸剧本杀目录,151,https://pan.baidu.com/s/1kc2bJoCfddFYmdGKjaSKsg,8
死亡致意,死亡致意（6人开放）,狐小狸剧本杀目录,152,https://pan.baidu.com/s/1kZ0gia2SFH4dEzD77SYDLw,6
神秘岛,神秘岛（8人半开放）,狐小狸剧本杀目录,153,https://pan.baidu.com/s/1TXLlw_TVAxUlp5qtvrT9qg,8
酒馆剧,酒馆剧本（10人封闭）,狐小狸剧本杀目录,154,https://pan.baidu.com/s/1GnSPkslElRqN0QA3D_6wLw,10
东方之星游轮续集,东方之星游轮续集（5人开放）,狐小狸剧本杀目录,155,https://pan.baidu.com/s/1xhqqUu__G6rTOKT_OqehbQ,5
咪咕夜总会,咪咕夜总会（7人开放）,狐小狸剧本杀目录,156,https://pan.baidu.com/s/1pLO8gLXzQ-72gqSKIGmGXA,7
最后的救赎,最后的救赎（8人半开放）,狐小狸剧本杀目录,157,https://pan.baidu.com/s/1LneXe0if5hQyW2qM-qE-Ew,8
孤泣之魂,孤泣之魂（8人开放）,狐小狸剧本杀目录,158,https://pan.baidu.com/s/1fVJT9CxEzDScYBLBTet0Cw,8
加勒比海,加勒比海（8人封闭）,狐小狸剧本杀目录,159,https://pan.baidu.com/s/1pXuuLBTzyjmgysuetfz0Mw,8
生化危机,生化危机（7人开放式）,狐小狸剧本杀目录,160,https://pan.baidu.com/s/1eu6BYK2bKzTM7lZQmBAMKQ,7
津门遗云,津门遗云（7人开放）,狐小狸剧本杀目录,161,https://pan.baidu.com/s/1CPIGFCSmNN79DFKx_9dvOw,7
四大名捕番外龙血珠被盗案,四大名捕番外龙血珠被盗案（10-11人开放）,狐小狸剧本杀目录,162,https://pan.baidu.com/s/1vRagwYS5G32dXgkti4lPrw,10|11
办公室谋杀,办公室谋杀（4-5人封闭）,狐小狸剧本杀目录,163,https://pan.baidu.com/s/1yB39b8ypz7Qa8drqkRs2Pg,4|5
中贸经理之死,中贸经理之死（6人开放）,狐小狸剧本杀目录,164,https://pan.baidu.com/s/1iN0sWCb2GZeWli_7CnleyA,6
巴顿将军的信,巴顿将军的信（5人封闭）,狐小狸剧本杀目录,165,https://pan.baidu.com/s/1pd4of9keYeDjTq1mQPJXEA,5
廊桥咖啡馆,廊桥咖啡馆(8人开放),狐小狸剧本杀目录,166,https://pan.baidu.com/s/15NM-XxUC_hSDk0p4EcCWNA,8
